NOME;CPF;NUM_ACORDO;VALOR_NEGOCIADO;DATA_ACORDO
Blanco;09301694174;4453555;R$5305.24;27/01/2023
Bruno;05880740633;9807906;R$4907.42;08/02/2023
Denis;71832481867;4838788;R$1196.16;18/03/2023
Denis;71832481867;6966038;R$3843.82;24/03/2023
Denis;71832481867;4967730;R$3662.87;30/03/2023
Denis;71832481867;7038309;R$618.86;02/06/2023
Denis;71832481867;8035372;R$6233.41;17/06/2023
Blanco;09301694174;8604914;R$4141.57;09/07/2023
Blanco;09301694174;9974623;R$5121.22;28/08/2023
Bruno;05880740633;6277836;R$4095.02;27/02/2024
Bruno;05880740633;5649097;R$7712.70;09/11/2023
Bruno;05880740633;6727553;R$4177.27;20/02/2024
